COUNTYNS,State,NAME,B01001_001E,B01001_calc_PopDensity
1672039,GA,Bibb County,153490,237.6230669
161529,AL,Bibb County,22527,13.973114
1716521,MT,Big Horn County,13376,1.033353047
1605067,WY,Big Horn County,11901,1.464795836
659451,MN,Big Stone County,5016,3.87977138
1035616,ND,Billings County,946,0.317931699
400593,ID,Bingham County,45551,8.399768947
465196,IA,Black Hawk County,133009,90.75418035
450404,IN,Blackford County,12129,28.36798485
1026336,NC,Bladen County,33778,14.9071817
1722470,MT,Blaine County,6727,0.614439103
1101793,OK,Blaine County,9634,4.006477878
835827,NE,Blaine County,480,0.260774045
395696,ID,Blaine County,21994,3.219398972
1213659,PA,Blair County,123842,90.93865631
1383801,TX,Blanco County,11279,6.14007402
1494613,VA,Bland County,6447,6.95986351
347451,GA,Bleckley County,12775,22.84919033
1639725,TN,Bledsoe County,14602,13.87184444
1639726,TN,Blount County,128443,88.74484763
161530,AL,Blount County,57645,34.51581642
659452,MN,Blue Earth County,66322,34.24424159
395157,ID,Boise County,7163,1.455945665
695730,MS,Bolivar County,32592,14.35428471
758463,MO,Bollinger County,12281,7.673882055
1266997,SD,Bon Homme County,6969,4.77464071
424204,IL,Bond County,16712,16.96523477
395158,ID,Bonner County,42711,9.514596564
395407,ID,Bonneville County,112397,23.25677336
1550009,WV,Boone County,22817,17.56549137
835828,NE,Boone County,5313,2.987909948
758464,MO,Boone County,176515,99.41363667
516854,KY,Boone County,129095,202.3834146
465197,IA,Boone County,26399,17.83319785
450405,IN,Boone County,64321,58.72257117
424205,IL,Boone County,53606,73.71852195
69897,AR,Boone County,37288,24.40204536
1383802,TX,Borden County,665,0.286099512
1383803,TX,Bosque County,18122,7.118088885
1674418,VA,Botetourt County,33222,23.69783168
1034227,ND,Bottineau County,6589,1.524809163
198122,CO,Boulder County,321030,170.6435299
395159,ID,Boundary County,11549,3.514744341
516855,KY,Bourbon County,20144,26.84294204
484975,KS,Bourbon County,14702,8.932705769
1383804,TX,Bowie County,93858,40.94769801
1035619,ND,Bowman County,3195,1.061706473
835991,NE,Box Butte County,11089,3.981695167
1455966,UT,Box Elder County,53001,3.561651789
835829,NE,Boyd County,2042,1.460214964
516856,KY,Boyd County,48091,116.1466556
516857,KY,Boyle County,29913,64.03928685
516858,KY,Bracken County,8306,15.81994256
1213660,PA,Bradford County,61304,20.6285945
303634,FL,Bradford County,26979,35.43517528
1639727,TN,Bradley County,104557,122.7931096
63757,AR,Bradley County,10948,6.510797369
1622954,MI,Branch County,43584,33.22953627
351605,GA,Brantley County,18561,16.17660577
1550010,WV,Braxton County,14282,10.79518704
1383805,TX,Brazoria County,353999,100.3298284
1383806,TX,Brazos County,219193,144.5413721
516859,KY,Breathitt County,13116,10.28421391
516860,KY,Breckinridge County,20080,13.60626856
465198,IA,Bremer County,24782,21.97208698
295749,FL,Brevard County,576808,219.3764634
1383807,TX,Brewster County,9216,0.575429251
1383808,TX,Briscoe County,1546,0.663237203
1219777,RI,Bristol County,48900,782.2287733
606929,MA,Bristol County,558905,390.1505028
1719625,MT,Broadwater County,5834,1.8891289
974101,NY,Bronx County,1437872,13202.5153
1558262,WV,Brooke County,22772,98.56552662
1265779,SD,Brookings County,34239,16.68723249
1383809,TX,Brooks County,7180,2.938676197
345518,GA,Brooks County,15622,12.23231715
974102,NY,Broome County,194402,106.3436213
1945881,CO,Broomfield County,66120,773.5251676
295753,FL,Broward County,1909151,612.6877168
1581064,WI,Brown County,259786,189.2196973
1383810,TX,Brown County,37834,15.46694199
1265785,SD,Brown County,38840,8.754198719
1074020,OH,Brown County,43679,34.4162569
835830,NE,Brown County,2988,0.944584305
659453,MN,Brown County,25211,15.92903909
484976,KS,Brown County,9664,6.536133047
451684,IN,Brown County,15034,18.60542575
424206,IL,Brown County,6675,8.431176356
1265768,SD,Brule County,5256,2.483176222
1493961,VA,Brunswick County,16665,11.36348173
1026340,NC,Brunswick County,126860,57.67976134
1101794,OK,Bryan County,45759,19.53287138
350496,GA,Bryan County,35885,31.66554713
1497431,VA,Buchanan County,22138,16.99802047
758465,MO,Buchanan County,89076,84.24475137
465199,IA,Buchanan County,21125,14.28246931
1501502,VA,Buckingham County,17004,11.32682197
1209173,PA,Bucks County,626370,400.1185087
465200,IA,Buena Vista County,20260,13.60661307
1581065,WI,Buffalo County,13167,7.522769421
1265767,SD,Buffalo County,2053,1.681499839
835831,NE,Buffalo County,49030,19.55194317
516861,KY,Bullitt County,79466,103.2955927
350302,GA,Bulloch County,74782,42.71567016
161531,AL,Bullock County,10352,6.41761955
1008538,NC,Buncombe County,254474,149.6625061
424207,IL,Bureau County,33381,14.82995898
1034235,ND,Burke County,2213,0.774245882
1008539,NC,Burke County,89712,68.42254022
347944,GA,Burke County,22550,10.52749269
1035614,ND,Burleigh County,93737,22.1694151
1383811,TX,Burleson County,17863,10.46523905
882272,NJ,Burlington County,446367,215.6107178
1383812,TX,Burnet County,45750,17.76606423
1581066,WI,Burnett County,15258,7.170697467
835832,NE,Burt County,6528,5.127233038
1213661,PA,Butler County,186566,91.3441609
1074021,OH,Butler County,378294,313.0169285
835833,NE,Butler County,8067,5.325150983
758466,MO,Butler County,42733,23.75128649
516862,KY,Butler County,12745,11.54886161
484977,KS,Butler County,66468,17.95065849
465201,IA,Butler County,14735,9.806636156
161532,AL,Butler County,20025,9.952770785
1675842,CA,Butte County,227075,53.57515906
1265793,SD,Butte County,10177,1.746369489
401703,ID,Butte County,2602,0.44920357
352295,GA,Butts County,23750,49.92067542
1008540,NC,Cabarrus County,201448,215.3137563
1550012,WV,Cabell County,95318,130.9605756
1448017,UT,Cache County,122336,40.55374337
1101795,OK,Caddo County,29342,8.865771627
1675885,CA,Calaveras County,45235,17.12260581
1383813,TX,Caldwell County,41401,29.3176956
1008541,NC,Caldwell County,81779,66.91171792
758467,MO,Caldwell County,9049,8.193956256
516863,KY,Caldwell County,12727,14.25192729
1461759,VT,Caledonia County,30425,18.09986548
1696945,WV,Calhoun County,7396,10.22602104
1622955,MI,Calhoun County,134473,73.51472524
1383814,TX,Calhoun County,21807,16.61223705
1247986,SC,Calhoun County,14713,14.90408159
695731,MS,Calhoun County,14571,9.591117351
465202,IA,Calhoun County,9780,6.626489394
424208,IL,Calhoun County,4858,7.389684233
344074,GA,Calhoun County,6428,8.851659627
306919,FL,Calhoun County,14444,9.829928189
161533,AL,Calhoun County,115098,73.348688
63758,AR,Calhoun County,5202,3.195379922
1383815,TX,Callahan County,13770,5.911486775
758468,MO,Callaway County,44840,20.74470794
516864,KY,Calloway County,38776,38.88396268
1581067,WI,Calumet County,49807,60.42036361
1676636,MD,Calvert County,91082,164.9551742
399408,ID,Camas County,886,0.318446855
1213662,PA,Cambria County,134550,75.46916128
1671316,GA,Camden County,52714,32.29088126
1026335,NC,Camden County,10447,16.78371294
882273,NJ,Camden County,507367,885.0013032
758469,MO,Camden County,45096,26.54100904
1383816,TX,Cameron County,421750,182.7492668
1213663,PA,Cameron County,4686,4.566212902
1383817,TX,Camp County,12813,25.26018797
1674917,VA,Campbell County,55170,42.33097538
1639728,TN,Campbell County,39687,31.91258985
1605068,WY,Campbell County,47708,3.835883282
1266974,SD,Campbell County,1435,0.755178034
516865,KY,Campbell County,92267,235.395229
1101796,OK,Canadian County,136710,58.86855908
342852,GA,Candler County,10827,17.19879927
1648572,TN,Cannon County,13976,20.314177
399406,ID,Canyon County,212230,139.5848719
758470,MO,Cape Girardeau County,78324,52.27181693
882274,NJ,Cape May County,93705,143.8511318
1720111,MT,Carbon County,10546,1.988486632
1605069,WY,Carbon County,15477,0.756628568
1448018,UT,Carbon County,20356,5.313401251
1213664,PA,Carbon County,63931,64.70895899
395406,ID,Caribou County,6918,1.514037097
516866,KY,Carlisle County,4841,9.866558938
659454,MN,Carlton County,35540,15.93174014
1480107,VA,Caroline County,30184,22.0885014
595737,MD,Caroline County,32875,39.7352873
1696228,MD,Carroll County,167522,144.4971047
1639729,TN,Carroll County,28018,18.10034868
1480108,VA,Carroll County,29738,24.18545246
1074022,OH,Carroll County,27578,26.98352715
873175,NH,Carroll County,47840,19.8217429
758471,MO,Carroll County,8843,4.915339508
695732,MS,Carroll County,10129,6.224560229
516867,KY,Carroll County,10711,32.16556487
465203,IA,Carroll County,20344,13.79408452
450406,IN,Carroll County,19994,20.73948855
424209,IL,Carroll County,14562,12.63341931
326650,GA,Carroll County,116022,89.76724683
66975,AR,Carroll County,27887,17.09180309
1383818,TX,Carson County,6032,2.530841245
1688746,MT,Carter County,1318,0.152338308
1639730,TN,Carter County,56391,63.80119171
1101797,OK,Carter County,48406,22.73184655
758472,MO,Carter County,6197,4.715945821
516868,KY,Carter County,27290,25.73102982
1026337,NC,Carteret County,68920,52.42275604
659455,MN,Carver County,100416,109.4606279
1719622,MT,Cascade County,81746,11.6976558
516869,KY,Casey County,15796,13.72881922
1622956,MI,Cass County,51460,40.53988578
1383819,TX,Cass County,30087,12.39828554
1034226,ND,Cass County,174202,38.10818851
835834,NE,Cass County,25702,17.80487703
758473,MO,Cass County,102678,56.90980617
659456,MN,Cass County,29022,5.543212648
465204,IA,Cass County,13191,9.026137483
450339,IN,Cass County,38084,35.67665338
424210,IL,Cass County,12665,13.01388792
395698,ID,Cassia County,23615,3.553855593
1383820,TX,Castro County,7787,3.361391124
1008542,NC,Caswell County,22746,20.64641073
1008543,NC,Catawba County,156729,150.7660738
353230,GA,Catoosa County,66299,157.855196
929108,NM,Catron County,3539,0.197339545
